Ensembl transcript,StringDB
ENST00000550767,ENSP00000446637
ENST00000361658,ENSP00000354877
ENST00000441031,ENSP00000417176
ENST00000611618,ENSP00000483005
ENST00000261353,ENSP00000261353
ENST00000589413,ENSP00000464871
ENST00000253392,ENSP00000253392
ENST00000361705,ENSP00000354996
ENST00000423037,ENSP00000408130
ENST00000517844,ENSP00000428227
ENST00000361028,ENSP00000354305
ENST00000558494,ENSP00000454137
ENST00000361687,ENSP00000355338
ENST00000391701,ENSP00000375582
ENST00000631462,ENSP00000487665
ENST00000438607,ENSP00000397843
ENST00000296350,ENSP00000296350
ENST00000447302,ENSP00000405647
ENST00000322623,ENSP00000318297
ENST00000561610,ENSP00000455995
ENST00000337433,ENSP00000336719
ENST00000592434,ENSP00000466084
ENST00000437216,ENSP00000398086
ENST00000594710,ENSP00000471593
ENST00000621348,ENSP00000481595
ENST00000548001,ENSP00000446541
ENST00000673881,ENSP00000501070
ENST00000334586,ENSP00000334854
ENST00000547918,ENSP00000448600
ENST00000559048,ENSP00000453760
ENST00000544232,ENSP00000437779
ENST00000367714,ENSP00000356687
ENST00000541036,ENSP00000441570
ENST00000441251,ENSP00000413265
ENST00000389441,ENSP00000374092
ENST00000223865,ENSP00000223865
ENST00000347359,ENSP00000339607
ENST00000444133,ENSP00000388598
ENST00000216468,ENSP00000216468
ENST00000312814,ENSP00000323068
ENST00000261637,ENSP00000261637
ENST00000395212,ENSP00000378638
ENST00000590089,ENSP00000465121
ENST00000471616,ENSP00000434475
ENST00000539469,ENSP00000439990
ENST00000459771,ENSP00000433162
ENST00000561060,ENSP00000452735
ENST00000443494,ENSP00000395397
ENST00000287773,ENSP00000287773
ENST00000292879,ENSP00000292879
ENST00000263461,ENSP00000263461
ENST00000309902,ENSP00000310359
ENST00000344204,ENSP00000339299
ENST00000451782,ENSP00000394717
ENST00000327674,ENSP00000329374
ENST00000656985,ENSP00000499364
ENST00000380599,ENSP00000369973
ENST00000637017,ENSP00000490240
ENST00000626503,ENSP00000486485
ENST00000381428,ENSP00000370836
ENST00000307765,ENSP00000303248
ENST00000626389,ENSP00000487125
ENST00000445203,ENSP00000390505
ENST00000394641,ENSP00000378137
ENST00000292614,ENSP00000292614
ENST00000392432,ENSP00000376227
ENST00000400659,ENSP00000383500
ENST00000525289,ENSP00000436935
ENST00000340892,ENSP00000343199
ENST00000457552,ENSP00000404450
ENST00000425453,ENSP00000402815
ENST00000380837,ENSP00000370217
ENST00000539737,ENSP00000446143
ENST00000525046,ENSP00000435684
ENST00000314228,ENSP00000315870
ENST00000451531,ENSP00000392718
ENST00000549501,ENSP00000447698
ENST00000372595,ENSP00000361676
ENST00000396050,ENSP00000379365
ENST00000556573,ENSP00000450958
ENST00000390677,ENSP00000375095
ENST00000260505,ENSP00000260505
ENST00000284601,ENSP00000284601
ENST00000375887,ENSP00000365048
ENST00000373044,ENSP00000362135
ENST00000532881,ENSP00000431788
ENST00000565365,ENSP00000454468
ENST00000405975,ENSP00000386088
ENST00000581208,ENSP00000462337
ENST00000601282,ENSP00000472578
ENST00000332853,ENSP00000331062
ENST00000361722,ENSP00000354777
ENST00000405006,ENSP00000385995
ENST00000358656,ENSP00000351482
ENST00000310826,ENSP00000308759
ENST00000310858,ENSP00000308321
ENST00000218056,ENSP00000218056
ENST00000409812,ENSP00000386699
ENST00000344135,ENSP00000339291
ENST00000672865,ENSP00000500823
ENST00000265729,ENSP00000265729
ENST00000432545,ENSP00000405264
ENST00000443905,ENSP00000393835
ENST00000632308,ENSP00000488287
ENST00000456096,ENSP00000411972
ENST00000596148,ENSP00000470262
ENST00000254730,ENSP00000254730
ENST00000423627,ENSP00000400037
ENST00000265981,ENSP00000265981
ENST00000673387,ENSP00000500440
ENST00000526639,ENSP00000432595
ENST00000223051,ENSP00000223051
ENST00000325351,ENSP00000320096
ENST00000557916,ENSP00000452955
ENST00000396827,ENSP00000380039
ENST00000396542,ENSP00000379792
ENST00000440567,ENSP00000415057
ENST00000286713,ENSP00000286713
ENST00000643444,ENSP00000494621
ENST00000367449,ENSP00000356419
ENST00000571272,ENSP00000458174
ENST00000265440,ENSP00000265440
ENST00000332435,ENSP00000331111
ENST00000575135,ENSP00000460567
ENST00000376785,ENSP00000365981
ENST00000619743,ENSP00000481632
ENST00000424469,ENSP00000387846
ENST00000221132,ENSP00000221132
ENST00000318881,ENSP00000324419
ENST00000607778,ENSP00000476100
ENST00000369543,ENSP00000358556
ENST00000333911,ENSP00000335444
ENST00000405636,ENSP00000385184
ENST00000383180,ENSP00000372667
ENST00000535183,ENSP00000445003
ENST00000559209,ENSP00000453872
ENST00000379520,ENSP00000368835
ENST00000312377,ENSP00000309871
ENST00000171887,ENSP00000171887
ENST00000456113,ENSP00000404014
ENST00000340353,ENSP00000345513
ENST00000323819,ENSP00000318615
ENST00000538513,ENSP00000439311
ENST00000263733,ENSP00000263733
ENST00000248484,ENSP00000248484
ENST00000263071,ENSP00000263071
ENST00000422113,ENSP00000408581
ENST00000632317,ENSP00000488776
ENST00000561129,ENSP00000453704
ENST00000295766,ENSP00000439020
ENST00000194530,ENSP00000194530
ENST00000281441,ENSP00000281441
ENST00000573562,ENSP00000461533
ENST00000608278,ENSP00000483035
ENST00000372780,ENSP00000361866
ENST00000597582,ENSP00000471478
ENST00000377073,ENSP00000366273
ENST00000283547,ENSP00000283547
ENST00000488757,ENSP00000418259
ENST00000432227,ENSP00000399302
ENST00000521272,ENSP00000430165
ENST00000672096,ENSP00000500685
ENST00000335556,ENSP00000334668
ENST00000485775,ENSP00000476025
ENST00000261167,ENSP00000261167
ENST00000524567,ENSP00000436293
ENST00000552987,ENSP00000448634
ENST00000371174,ENSP00000360216
ENST00000348370,ENSP00000288199
ENST00000327042,ENSP00000321038
ENST00000371276,ENSP00000360323
ENST00000429814,ENSP00000402595
ENST00000332211,ENSP00000361686
ENST00000524725,ENSP00000431205
ENST00000338977,ENSP00000340524
ENST00000577538,ENSP00000463270
ENST00000590769,ENSP00000468740
ENST00000300823,ENSP00000300823
ENST00000371274,ENSP00000360321
ENST00000427314,ENSP00000404190
ENST00000528753,ENSP00000466330
ENST00000359798,ENSP00000352846
ENST00000617261,ENSP00000484744
ENST00000381894,ENSP00000371318
ENST00000344930,ENSP00000343443
ENST00000394132,ENSP00000377690
ENST00000323523,ENSP00000319009
ENST00000367663,ENSP00000356635
ENST00000219746,ENSP00000219746
ENST00000305494,ENSP00000306344
ENST00000421789,ENSP00000399530
ENST00000335791,ENSP00000336733
ENST00000511833,ENSP00000428878
ENST00000454545,ENSP00000412524
ENST00000309328,ENSP00000312318
ENST00000372158,ENSP00000361231
ENST00000314556,ENSP00000318665
ENST00000529221,ENSP00000433757
ENST00000548769,ENSP00000448351
ENST00000295156,ENSP00000295156
ENST00000568638,ENSP00000456920
ENST00000639280,ENSP00000492307
ENST00000324001,ENSP00000326018
ENST00000394765,ENSP00000378246
ENST00000394706,ENSP00000378196
ENST00000640487,ENSP00000491583
ENST00000525270,ENSP00000436822
ENST00000399523,ENSP00000382439
ENST00000437356,ENSP00000401305
ENST00000342624,ENSP00000343871
ENST00000259782,ENSP00000259782
ENST00000380433,ENSP00000369798
ENST00000395391,ENSP00000378789
ENST00000376883,ENSP00000366080
ENST00000313132,ENSP00000361635
ENST00000393330,ENSP00000377003
ENST00000378975,ENSP00000368258
ENST00000383114,ENSP00000372595
ENST00000570788,ENSP00000458286
ENST00000402136,ENSP00000385931
ENST00000415231,ENSP00000402995
ENST00000398888,ENSP00000381863
ENST00000622212,ENSP00000481033
ENST00000264037,ENSP00000264037
ENST00000545872,ENSP00000440713
ENST00000536489,ENSP00000438224
ENST00000311141,ENSP00000310543
ENST00000651699,ENSP00000499166
ENST00000382263,ENSP00000371698
ENST00000320701,ENSP00000314077
ENST00000432676,ENSP00000410416
ENST00000360594,ENSP00000353802
ENST00000372555,ENSP00000361636
ENST00000671947,ENSP00000500609
ENST00000406644,ENSP00000385256
ENST00000604021,ENSP00000474383
ENST00000256062,ENSP00000256062
ENST00000323037,ENSP00000323879
ENST00000299045,ENSP00000299045
ENST00000335007,ENSP00000335084
ENST00000290949,ENSP00000290949
ENST00000637895,ENSP00000490308
ENST00000625335,ENSP00000487568
ENST00000356109,ENSP00000348419
ENST00000457408,ENSP00000404042
ENST00000393337,ENSP00000377008
ENST00000374787,ENSP00000363919
ENST00000412157,ENSP00000403310
ENST00000426739,ENSP00000400878
ENST00000441555,ENSP00000414777
ENST00000358465,ENSP00000351250
ENST00000416588,ENSP00000420740
ENST00000264451,ENSP00000264451
ENST00000620359,ENSP00000478127
ENST00000275216,ENSP00000275216
ENST00000299866,ENSP00000299866
ENST00000368402,ENSP00000357387
ENST00000404666,ENSP00000384014
ENST00000349228,ENSP00000314455
ENST00000645530,ENSP00000494307
ENST00000515566,ENSP00000425582
ENST00000313236,ENSP00000315635
ENST00000531979,ENSP00000433402
ENST00000438756,ENSP00000408131
ENST00000400069,ENSP00000468715
ENST00000374076,ENSP00000363189
ENST00000322028,ENSP00000324124
ENST00000455809,ENSP00000398596
ENST00000367455,ENSP00000356425
ENST00000442585,ENSP00000394779
ENST00000343043,ENSP00000341692
ENST00000604629,ENSP00000475028
ENST00000372336,ENSP00000361411
ENST00000318445,ENSP00000320634
ENST00000264694,ENSP00000264694
ENST00000392314,ENSP00000376128
ENST00000367456,ENSP00000356426
ENST00000296351,ENSP00000296351
ENST00000611844,ENSP00000481069
ENST00000383493,ENSP00000372985
ENST00000355086,ENSP00000347198
ENST00000674086,ENSP00000501056
ENST00000453694,ENSP00000405636
ENST00000597597,ENSP00000472619
ENST00000334181,ENSP00000333980
ENST00000350887,ENSP00000340774
ENST00000514480,ENSP00000423720
ENST00000394708,ENSP00000378198
ENST00000381031,ENSP00000370419
ENST00000361524,ENSP00000354794
ENST00000536937,ENSP00000445993
ENST00000337495,ENSP00000337352
ENST00000618232,ENSP00000477622
ENST00000639810,ENSP00000491231
ENST00000394129,ENSP00000457901
ENST00000338916,ENSP00000340914
ENST00000612655,ENSP00000485021
ENST00000435962,ENSP00000387882
ENST00000625791,ENSP00000486052
ENST00000323434,ENSP00000319210
ENST00000427624,ENSP00000405699
ENST00000223459,ENSP00000223459
ENST00000380989,ENSP00000370377
ENST00000250055,ENSP00000355354
ENST00000672102,ENSP00000500793
ENST00000457183,ENSP00000392207
ENST00000326181,ENSP00000318944
ENST00000347147,ENSP00000333355
ENST00000360700,ENSP00000353922
ENST00000392002,ENSP00000375859
ENST00000632545,ENSP00000487851
ENST00000318059,ENSP00000315693
ENST00000284856,ENSP00000284856
ENST00000303277,ENSP00000305243
ENST00000432904,ENSP00000414720
ENST00000329035,ENSP00000332359
ENST00000383628,ENSP00000373124
ENST00000359092,ENSP00000351995
ENST00000436170,ENSP00000407003
ENST00000393312,ENSP00000376988
ENST00000383547,ENSP00000373039
ENST00000437796,ENSP00000417040
ENST00000234396,ENSP00000234396
ENST00000372156,ENSP00000361229
ENST00000322213,ENSP00000323421
ENST00000403372,ENSP00000385408
ENST00000367454,ENSP00000356424
ENST00000250101,ENSP00000250101
ENST00000391958,ENSP00000375820
ENST00000447395,ENSP00000410307
ENST00000602389,ENSP00000473588
ENST00000281828,ENSP00000281828
ENST00000286827,ENSP00000286827
ENST00000338637,ENSP00000341151
ENST00000558087,ENSP00000453888
ENST00000417901,ENSP00000395260
ENST00000295131,ENSP00000295131
ENST00000630378,ENSP00000485891
ENST00000286349,ENSP00000286349
ENST00000518336,ENSP00000428696
ENST00000368057,ENSP00000357036
ENST00000369796,ENSP00000358811
ENST00000396105,ENSP00000379412
ENST00000565468,ENSP00000456594
ENST00000558379,ENSP00000453435
ENST00000376782,ENSP00000365978
ENST00000634325,ENSP00000489399
ENST00000648254,ENSP00000497520
ENST00000534199,ENSP00000432590
ENST00000585809,ENSP00000476117
ENST00000264852,ENSP00000264852
ENST00000291825,ENSP00000291825
ENST00000406027,ENSP00000384100
ENST00000630152,ENSP00000486733
ENST00000354284,ENSP00000346237
ENST00000500161,ENSP00000439527
ENST00000322019,ENSP00000317000
ENST00000402904,ENSP00000386079
ENST00000639962,ENSP00000492616
ENST00000637181,ENSP00000490618
ENST00000398505,ENSP00000381517
ENST00000378495,ENSP00000367756
ENST00000371558,ENSP00000360613
ENST00000426677,ENSP00000410339
ENST00000526130,ENSP00000437160
ENST00000222033,ENSP00000222033
ENST00000587424,ENSP00000480140
ENST00000394671,ENSP00000378166
ENST00000618785,ENSP00000483653
ENST00000573034,ENSP00000459615
ENST00000488505,ENSP00000426071
ENST00000535338,ENSP00000440624
ENST00000383336,ENSP00000372827
ENST00000292841,ENSP00000292841
ENST00000431660,ENSP00000391148
ENST00000250823,ENSP00000250823
ENST00000324079,ENSP00000315111
ENST00000239878,ENSP00000239878
ENST00000263857,ENSP00000263857
ENST00000314756,ENSP00000315160
ENST00000361511,ENSP00000354871
ENST00000352041,ENSP00000270188
ENST00000454662,ENSP00000393265
ENST00000343459,ENSP00000341528
ENST00000470033,ENSP00000420712
ENST00000456783,ENSP00000413660
ENST00000588267,ENSP00000465467
ENST00000397742,ENSP00000380850
ENST00000534000,ENSP00000434142
ENST00000297459,ENSP00000297459
ENST00000574091,ENSP00000458991
ENST00000323944,ENSP00000324302
ENST00000273610,ENSP00000273610
ENST00000367001,ENSP00000355968
ENST00000273037,ENSP00000273037
ENST00000367123,ENSP00000478290
ENST00000374793,ENSP00000363925
ENST00000539862,ENSP00000445097
ENST00000402452,ENSP00000385925
ENST00000547153,ENSP00000448952
ENST00000347471,ENSP00000302919
ENST00000370921,ENSP00000359959
ENST00000326499,ENSP00000322276
ENST00000421487,ENSP00000412605
ENST00000258062,ENSP00000258062
ENST00000423271,ENSP00000409792
ENST00000347077,ENSP00000339823
ENST00000454765,ENSP00000415030
ENST00000254816,ENSP00000254816
ENST00000421333,ENSP00000389126
ENST00000372813,ENSP00000361900
ENST00000298454,ENSP00000298454
ENST00000545499,ENSP00000437943
ENST00000538427,ENSP00000445752
ENST00000349258,ENSP00000340650
ENST00000397544,ENSP00000380678
ENST00000367244,ENSP00000356213
ENST00000383613,ENSP00000373108
ENST00000458521,ENSP00000404056
ENST00000529639,ENSP00000435370
ENST00000473092,ENSP00000418674
ENST00000338784,ENSP00000343505
ENST00000064780,ENSP00000064780
ENST00000557997,ENSP00000453083
ENST00000252100,ENSP00000252100
ENST00000446005,ENSP00000394222
ENST00000437507,ENSP00000412369
ENST00000299687,ENSP00000299687
ENST00000424952,ENSP00000395502
ENST00000421519,ENSP00000396152
ENST00000546511,ENSP00000449536
ENST00000375394,ENSP00000364543
ENST00000610935,ENSP00000478557
ENST00000428417,ENSP00000394899
ENST00000613662,ENSP00000478277
ENST00000376356,ENSP00000365534
ENST00000434471,ENSP00000393744
ENST00000358024,ENSP00000350718
ENST00000458242,ENSP00000391563
ENST00000400662,ENSP00000383503
ENST00000396545,ENSP00000379794
ENST00000337743,ENSP00000338624
ENST00000324306,ENSP00000323148
ENST00000187879,ENSP00000187879
ENST00000402360,ENSP00000385441
ENST00000377252,ENSP00000366460
ENST00000431032,ENSP00000416599
ENST00000390337,ENSP00000420798
ENST00000382492,ENSP00000371932
ENST00000600079,ENSP00000469398
ENST00000324868,ENSP00000320658
ENST00000216602,ENSP00000216602
ENST00000393927,ENSP00000377504
ENST00000317876,ENSP00000321929
ENST00000393580,ENSP00000377207
ENST00000416974,ENSP00000396462
ENST00000644579,ENSP00000494933
ENST00000406397,ENSP00000384719
ENST00000448299,ENSP00000404370
ENST00000279387,ENSP00000279387
ENST00000374859,ENSP00000363993
ENST00000429089,ENSP00000392045
ENST00000494664,ENSP00000418803
ENST00000555638,ENSP00000452201
ENST00000355636,ENSP00000347854
ENST00000354377,ENSP00000346348
ENST00000341041,ENSP00000340320
ENST00000426086,ENSP00000401550
ENST00000540331,ENSP00000444339
ENST00000552809,ENSP00000450279
ENST00000592437,ENSP00000465011
ENST00000597186,ENSP00000470323
ENST00000634045,ENSP00000487678
ENST00000367481,ENSP00000356451
ENST00000357147,ENSP00000349669
ENST00000339282,ENSP00000340004
ENST00000265827,ENSP00000265827
ENST00000400660,ENSP00000383501
ENST00000398741,ENSP00000381726
ENST00000370606,ENSP00000359638
ENST00000399298,ENSP00000382237
ENST00000547905,ENSP00000449370
ENST00000563276,ENSP00000455227
ENST00000561186,ENSP00000453015
ENST00000404924,ENSP00000385525
ENST00000608519,ENSP00000476394
ENST00000349874,ENSP00000341892
ENST00000242784,ENSP00000242784
ENST00000356183,ENSP00000348510
ENST00000634120,ENSP00000488431
ENST00000454074,ENSP00000390696
ENST00000404790,ENSP00000384266
ENST00000439583,ENSP00000390606
ENST00000412823,ENSP00000400626
ENST00000438232,ENSP00000393710
ENST00000334512,ENSP00000334474
ENST00000286398,ENSP00000286398
ENST00000429465,ENSP00000412310
ENST00000540806,ENSP00000440625
ENST00000611517,ENSP00000483276
ENST00000276123,ENSP00000276123
ENST00000433264,ENSP00000393236
ENST00000613266,ENSP00000479071
ENST00000508784,ENSP00000421863
ENST00000285093,ENSP00000285093
ENST00000352998,ENSP00000340132
ENST00000311417,ENSP00000311221
ENST00000420402,ENSP00000398741
ENST00000561754,ENSP00000492311
ENST00000369448,ENSP00000358458
ENST00000539277,ENSP00000442046
ENST00000370922,ENSP00000359960
ENST00000285208,ENSP00000285208
ENST00000372680,ENSP00000361765
ENST00000443142,ENSP00000391809
ENST00000217133,ENSP00000217133
ENST00000398511,ENSP00000381523
ENST00000409241,ENSP00000386414
ENST00000353317,ENSP00000297348
ENST00000273980,ENSP00000273980
ENST00000396082,ENSP00000379391
ENST00000536171,ENSP00000443990
ENST00000542136,ENSP00000445334
ENST00000547542,ENSP00000447492
ENST00000531743,ENSP00000431822
ENST00000634500,ENSP00000489035
ENST00000393830,ENSP00000377416
ENST00000429299,ENSP00000410481
ENST00000442938,ENSP00000416071
ENST00000321680,ENSP00000321826
ENST00000451104,ENSP00000401201
ENST00000287641,ENSP00000287641
ENST00000638300,ENSP00000492703
ENST00000237353,ENSP00000237353
ENST00000630695,ENSP00000486550
ENST00000448219,ENSP00000394400
ENST00000412391,ENSP00000397645
ENST00000283875,ENSP00000283875
ENST00000373164,ENSP00000362258
ENST00000219069,ENSP00000219069
ENST00000554763,ENSP00000451195
ENST00000345264,ENSP00000339521
ENST00000622113,ENSP00000482040
ENST00000219281,ENSP00000219281
ENST00000274532,ENSP00000274532
ENST00000487863,ENSP00000420522
ENST00000393867,ENSP00000377445
ENST00000296326,ENSP00000296326
ENST00000622396,ENSP00000484395
ENST00000301178,ENSP00000301178
ENST00000237275,ENSP00000237275
ENST00000616406,ENSP00000480263
ENST00000300108,ENSP00000300108
ENST00000382280,ENSP00000371715
ENST00000674017,ENSP00000501062
ENST00000350881,ENSP00000339730
ENST00000520347,ENSP00000430823
ENST00000339922,ENSP00000464258
ENST00000582322,ENSP00000463395
ENST00000343542,ENSP00000345889
ENST00000357461,ENSP00000350050
ENST00000368336,ENSP00000357320
ENST00000301281,ENSP00000301281
ENST00000556018,ENSP00000451317
ENST00000260116,ENSP00000260116
ENST00000389682,ENSP00000374332
ENST00000546561,ENSP00000447160
ENST00000615985,ENSP00000481895
ENST00000565774,ENSP00000457477
ENST00000559775,ENSP00000453709
ENST00000379448,ENSP00000368761
ENST00000340766,ENSP00000341779
ENST00000400796,ENSP00000383600
ENST00000548337,ENSP00000449407
ENST00000432044,ENSP00000392328
ENST00000376757,ENSP00000365948
ENST00000558663,ENSP00000452923
ENST00000268483,ENSP00000268483
ENST00000261749,ENSP00000261749
ENST00000612746,ENSP00000483087
ENST00000417738,ENSP00000407715
ENST00000481124,ENSP00000418195
ENST00000504273,ENSP00000426255
ENST00000534030,ENSP00000432807
ENST00000435906,ENSP00000412932
ENST00000453664,ENSP00000400090
ENST00000419417,ENSP00000402071
ENST00000356385,ENSP00000348750
ENST00000532429,ENSP00000435447
ENST00000444479,ENSP00000395102
ENST00000375525,ENSP00000364675
ENST00000311170,ENSP00000310856
ENST00000367243,ENSP00000356212
ENST00000330794,ENSP00000331288
ENST00000392288,ENSP00000376110
ENST00000224949,ENSP00000224949
ENST00000449912,ENSP00000396672
ENST00000341541,ENSP00000341657
ENST00000397171,ENSP00000380356
ENST00000361837,ENSP00000355022
ENST00000258962,ENSP00000258962
ENST00000377940,ENSP00000367174
ENST00000444794,ENSP00000407364
ENST00000471642,ENSP00000476592
ENST00000370634,ENSP00000359668
ENST00000548574,ENSP00000446798
ENST00000383234,ENSP00000372721
ENST00000309071,ENSP00000309095
ENST00000219454,ENSP00000219454
ENST00000372789,ENSP00000361875
ENST00000382258,ENSP00000371693
ENST00000457268,ENSP00000387650
ENST00000373290,ENSP00000362387
ENST00000446493,ENSP00000399966
ENST00000576217,ENSP00000461047
ENST00000448943,ENSP00000405176
ENST00000632616,ENSP00000487649
ENST00000376117,ENSP00000365285
ENST00000376008,ENSP00000365176
ENST00000550887,ENSP00000449379
ENST00000304385,ENSP00000302144
ENST00000377050,ENSP00000366249
ENST00000634530,ENSP00000489097
ENST00000520984,ENSP00000427761
ENST00000369405,ENSP00000358413
ENST00000543341,ENSP00000445162
ENST00000379983,ENSP00000369319
ENST00000356321,ENSP00000348673
ENST00000586687,ENSP00000467275
ENST00000267622,ENSP00000267622
ENST00000314531,ENSP00000319053
ENST00000539317,ENSP00000442835
ENST00000354200,ENSP00000346139
ENST00000372625,ENSP00000361708
ENST00000383607,ENSP00000373102
ENST00000416904,ENSP00000409463
ENST00000409434,ENSP00000387275
ENST00000446488,ENSP00000400476
ENST00000326853,ENSP00000319622
ENST00000389103,ENSP00000373755
ENST00000538945,ENSP00000445957
ENST00000619559,ENSP00000477713
ENST00000571673,ENSP00000461196
ENST00000378292,ENSP00000367542
ENST00000330173,ENSP00000331540
ENST00000372904,ENSP00000361995
ENST00000373593,ENSP00000362695
ENST00000308588,ENSP00000309831
ENST00000374737,ENSP00000363869
ENST00000383214,ENSP00000372701
ENST00000628593,ENSP00000486609
ENST00000378217,ENSP00000367462
ENST00000589555,ENSP00000465553
ENST00000592825,ENSP00000466189
ENST00000266971,ENSP00000266971
ENST00000503731,ENSP00000424544
ENST00000336865,ENSP00000337398
ENST00000374452,ENSP00000363576
ENST00000397778,ENSP00000380880
ENST00000347557,ENSP00000328635
ENST00000439922,ENSP00000391877
ENST00000452676,ENSP00000405218
ENST00000379881,ENSP00000369210
ENST00000474047,ENSP00000435933
ENST00000633796,ENSP00000488778
ENST00000377674,ENSP00000366902
ENST00000401525,ENSP00000384945
ENST00000576742,ENSP00000461518
ENST00000262629,ENSP00000262629
ENST00000550065,ENSP00000450264
ENST00000560611,ENSP00000454168
ENST00000447337,ENSP00000398258
ENST00000403751,ENSP00000384597
ENST00000317764,ENSP00000326838
ENST00000484928,ENSP00000417626
ENST00000222402,ENSP00000222402
ENST00000508504,ENSP00000426496
ENST00000272238,ENSP00000272238
ENST00000396376,ENSP00000379661
ENST00000412096,ENSP00000388093
ENST00000502674,ENSP00000425242
ENST00000403880,ENSP00000385192
ENST00000376325,ENSP00000365503
ENST00000634832,ENSP00000488968
ENST00000346752,ENSP00000341029
ENST00000613979,ENSP00000480750
ENST00000315170,ENSP00000326598
ENST00000335090,ENSP00000335670
ENST00000476627,ENSP00000419214
ENST00000356124,ENSP00000348440
ENST00000380860,ENSP00000370241
ENST00000367740,ENSP00000356714
ENST00000361716,ENSP00000355122
ENST00000377431,ENSP00000366649
ENST00000540593,ENSP00000442228
ENST00000437089,ENSP00000395491
ENST00000635479,ENSP00000489368
ENST00000356828,ENSP00000349285
ENST00000334197,ENSP00000334146
ENST00000314523,ENSP00000400886
ENST00000390446,ENSP00000451574
ENST00000674261,ENSP00000501538
ENST00000380412,ENSP00000369777
ENST00000629980,ENSP00000485909
ENST00000263966,ENSP00000263966
ENST00000455884,ENSP00000401477
ENST00000380276,ENSP00000369629
ENST00000264818,ENSP00000264818
ENST00000413164,ENSP00000415852
ENST00000358582,ENSP00000351391
ENST00000622959,ENSP00000485461
ENST00000372781,ENSP00000361867
ENST00000269142,ENSP00000269142
ENST00000371591,ENSP00000360647
ENST00000310074,ENSP00000308022
ENST00000254321,ENSP00000254321
ENST00000247956,ENSP00000247956
ENST00000556585,ENSP00000451229
ENST00000264771,ENSP00000264771
ENST00000542836,ENSP00000444568
ENST00000409707,ENSP00000386548
ENST00000646673,ENSP00000493536
ENST00000392485,ENSP00000376276
ENST00000587948,ENSP00000465149
ENST00000354219,ENSP00000346158
ENST00000524945,ENSP00000434422
ENST00000396602,ENSP00000379847
ENST00000307017,ENSP00000303434
ENST00000544244,ENSP00000439234
ENST00000488717,ENSP00000435969
ENST00000440289,ENSP00000409733
ENST00000275191,ENSP00000275191
ENST00000218388,ENSP00000218388
ENST00000292069,ENSP00000292069
ENST00000513449,ENSP00000424643
ENST00000348962,ENSP00000343434
ENST00000610794,ENSP00000478582
ENST00000237264,ENSP00000237264
ENST00000356588,ENSP00000348996
ENST00000376935,ENSP00000452219
ENST00000544690,ENSP00000445332
ENST00000278947,ENSP00000278947
ENST00000644917,ENSP00000495909
ENST00000279027,ENSP00000279027
ENST00000352260,ENSP00000306050
ENST00000394621,ENSP00000378119
ENST00000261601,ENSP00000261601
ENST00000413619,ENSP00000456333
ENST00000357901,ENSP00000350576
ENST00000370440,ENSP00000359469
ENST00000440367,ENSP00000405047
ENST00000372706,ENSP00000361791
ENST00000372708,ENSP00000361793
ENST00000495082,ENSP00000419621
ENST00000620596,ENSP00000481742
ENST00000285947,ENSP00000285947
ENST00000546213,ENSP00000441117
ENST00000312584,ENSP00000310263
ENST00000453447,ENSP00000407050
ENST00000375491,ENSP00000364640
ENST00000437266,ENSP00000409418
ENST00000405883,ENSP00000384444
ENST00000503676,ENSP00000420908
ENST00000587173,ENSP00000465946
ENST00000303142,ENSP00000305875
ENST00000337990,ENSP00000338650
ENST00000372022,ENSP00000361092
ENST00000456093,ENSP00000406707
ENST00000248983,ENSP00000248983
ENST00000316586,ENSP00000325748
ENST00000216038,ENSP00000216038
ENST00000530719,ENSP00000432459
ENST00000272324,ENSP00000272324
ENST00000418477,ENSP00000416439
ENST00000270176,ENSP00000270176
ENST00000641198,ENSP00000493399
ENST00000615235,ENSP00000479198
ENST00000380516,ENSP00000369887
ENST00000432326,ENSP00000407876
ENST00000336294,ENSP00000338165
ENST00000359774,ENSP00000352820
ENST00000397397,ENSP00000380552
ENST00000469256,ENSP00000476692
ENST00000379236,ENSP00000368538
ENST00000546292,ENSP00000445943
ENST00000375782,ENSP00000364938
ENST00000279386,ENSP00000279386
ENST00000462940,ENSP00000417519
ENST00000233735,ENSP00000233735
ENST00000625583,ENSP00000486109
ENST00000409402,ENSP00000387266
ENST00000428386,ENSP00000416368
ENST00000617862,ENSP00000484844
ENST00000445259,ENSP00000407294
ENST00000450136,ENSP00000408292
ENST00000503823,ENSP00000427548
ENST00000392514,ENSP00000376299
ENST00000414934,ENSP00000413557
ENST00000394115,ENSP00000377674
ENST00000608424,ENSP00000477389
ENST00000455784,ENSP00000391311
ENST00000448464,ENSP00000390063
ENST00000321897,ENSP00000316092
ENST00000549903,ENSP00000447272
ENST00000287727,ENSP00000287727
ENST00000420567,ENSP00000408553
ENST00000416369,ENSP00000403583
ENST00000344989,ENSP00000342913
ENST00000266534,ENSP00000266534
ENST00000390374,ENSP00000374897
ENST00000400911,ENSP00000383702
ENST00000396604,ENSP00000379849
ENST00000319296,ENSP00000323945
ENST00000441359,ENSP00000490064
ENST00000367025,ENSP00000355992
ENST00000574962,ENSP00000458229
ENST00000612242,ENSP00000479490
ENST00000672845,ENSP00000500357
ENST00000447872,ENSP00000401926
ENST00000377507,ENSP00000366729
ENST00000548125,ENSP00000449785
ENST00000348165,ENSP00000309198
